RESPONSE,LABEL
intetraksi adaptasi hadap lingkung yang baru,1
seperti jatuh meteor tsunami gempa bumi,0
hanya tuhan yang tahu tantang nya itu apa,0
mereka akan sulit adaptasi,1
tempat tinggal ekonomi dan kerja,1
akan ganggu dengan kesehatanya karena merekanperlu adaptasi dengan lingkung yang baru,1
mereka tidak akan di hormat oleh orang layak mereka di hormat di dalam tempat tinggal mereka yang lama,0
mereka akan hilang lahan tani,1
pada kasus seperti salah satu yang jadi di travina warga mungkin paksa untuk jadi ungsi iklim ungsi iklim adalah orang yang paksa tinggal komunitas atau negara karena bencana lingkung,0
dapat musibah dan lawan,0
karena mereka butuh tempat tinggal baru,1
akan hilang tempat tinggal yang lama atau komunitas karena bencana alam,0
mereka akan pindah ke tempat yang dulu,0
adaptasi,1
ungsi iklim ini orang yang paksa tinggal komunitas atau negara karena bencana lingkung,0
karna mereka tidak mau kena iklim yang sangat beser,0
ada yg tidak pada serta kurang fasilitas di tempat ungsi giat jadi tidak dapat laku seperti biasa makna mereka tidak bebas laku sesuatu,1
ungsi iklim adalah orang yang paksa tinggal komunitas atau negara karena bencana lingkung,0
fkjgrioejtklejtdfljlkgr,0
rasa aneh,0
satu tantang yang akan hadap ungsi adalah hilang kerja mereka yaitu kerja tan atau nelayan dan itu salah satu cahari mereka lama tetap di travina,1
akan jadi ubah tempat,0
karena akan ada bencana alam yang akan datang,0
mereka perlu adaptasi dan harus rela pisah dengan tembat lama yang mungkin lahan sebut akan hilang,1
tidak jamin dengan semua butuh dan sulit untuk adaptasi dengan tempat baru,1
orang yang trpaksa tinggal komunitas atau negara karna canda lingkung,0
mereka tidak akan mudah sesuai hidup mereka di tempat baru,1
mereka akan hilang bagi besar atau bahkan semua lahan tani mereka,1
tidak punya tempat yang tetap,1
masalah yang dapatdidapatkan oleh pengngungsi itu adalah guna bahasa dan cari lapang kerja tempat tinggal,1
mereka akan hilang lahan tani sektor pariwisata dan ikan dan tempat tinggal mereka,1
derita panas nya cuaca iklim,0
warga di travina akan alami bencana yang besar dan sebab oleh ubah iklim,0
mereka akan tinggal negara dan mereka akan jadi puengungsi yang butuh bantu dari negara lain mereka juga butuh negara mana yang harus jadi ungsi,0
tantanganya adalah mereka harus beradapatsi lagi dengan lingkung baru,1
akan jadi lama proses adaptasi yang laku oleh para pengunsi iklim sebut,1
komunitas dan negara,0
tantang ungsi iklim adalah lahan kerja yang ia tempat dulu akan hilang karena ia harus tinggal negara karena bencana lingkung yang ada di negara,1
adaptasi dengan lingkung yang baru,1
tantanganya adalah akan tinggal tempat tinggal dan kebun yang milik,0
sulit cari lahan tani,0
harus cari tempat untuk kerja bangun rumah dan nal dengan orang asing,1
sesuai lingkung dan masalah imigrasi seperti amerika yang tolak imigran datang dari luar,1
hilang segala,1
bagi dari mereka akan hilang lahan dan keluarga,1
sulit adaptasi dengan wilayah baru,1
ia susah untuk adaptasi,1
mereka harus bisa adaptasi dengan lingkung baru,1
kalau tidak pindah kita kena bencana,0
uis iklim adalah orang orang yang paksa meningalkan komunikasi atau negara karena karena beencna,1
mereka harus adaptasi dengan tempat sebut dan harus rela rumah dan harta nya tengelam,1
tantang yang pasti akan hadap oleh orang travina jadi ungsi iklim adalah harus baur dengan baik sesuai dengan atur dan tatanan yang ada tempat baru yang akan tinggal,1
ungsi iklim,0
mereka akan adaptasi dengan tempat mereka yang baru dan mereka harus terima ada tempat mereka yang baru serta jalan cara hidup yang baru tempat sebut,1
akan hilang komunitas dan negara,1
hidup yang tidak sama dengan hidup yang biasa mereka jalan di negara,0
mereka harus rela hilang tempat tinggal yang mereka milik belum karena pengaruh bencana alam yang tidak dapat lewat,1
mereka harus usaha tempat mereka pindah untuk tahan hidup dan harus sesuai diri dengan lingkung baru mereka,1
warga travina tidak betah untuk tinggal di tempat lain bukan tempat asal tidur pun suka tidak nyenyak dan makan pun tidak banyak di tempat tinggal dulu mandi pun harus rela antri dengan ungsi iklim lain,1
mereka harus mulai lingkung yang baru adaptasi dengan lingkung mereka yang baru dan bangun rumah atau tani di tempat baru sebut,1
mereka akan susah adaptasi pada lingkung yang baru dan mereka akan susah dapat ahli yang butuh di tempat yang baru,1
mereka harus adaptasi dengan tampat baru yang mereka akan tinggal mulai hidup baru mereka juga akan sangat sulit dapat kerja,1
mereka akan susah dalam cari kerja cari usaha dan lain lain,1
masalah tempat tingal dan barang harga,1
tidak nyaman pindah,1
mareka rasa sesuatu yang tidak enak karna meningalkan nara keluarga dan lain,1
mereka harus mulai hidup baru dan harus tinggal dengan ada yang beda dari belum,1
waspada,0
buat kembali lahan tani lahan kerja yang sudah tinggal di negara sebut,1
ungsi ke daerah lai karena komunitas atau negara lai paksa tinggal ada bencana lingkung,0
ungsi iklim akan hilang harta benda raka lahan raka karena jika mereka telah tetap sana dan sukses sana maka mereka akan susah payah rintis lagi dari nol,1
tahan rasa suhu tubuh yang ada di iklim negara sebut,1
sosial dengan orang baru dan adaptasi dengan lingkung sekitar yang baru,1
akan sulit unutk sesuai diri dengan lingkung,1
tidak coccok dengan iklim yang akan tempat,1
paksa tinggal komunitas atau negara karena bencana lingkung,1
ungsi iklim adalah orang yang paksa tinggal komunitas atau negara karena bencana lingkung,0
mereka akan rugi karena mereka akan tinggal lahan tani mereka yang sudah tumbuh subur,0
harus lebih waspada lagi tentang ada sekitar nya,0
tinggal tempat baru yang telah di tempat i lama ini dan akan hilang semua dan akan ulang hidup baru dari lingkung baru,1
hilang matapencarian atau mungkin keluarga,1
mereka akan gaul dengan iklim yang baru biasa susah atau lama untuk adaptasi dengan iklim baru,1
satu tantang yang akan hadap oleh para ungsi iklim ketika pindah tempat yang baru yaitu adaptasi dengan lingkung yang baru,1
mereka akan kekuranngan lahan,1
tantang yang akan hadap para ungsi iklim ini adalah mereka harus bisa adaptasi dengan lingkung baru yang mungkin jauh beda dari tempat tinggal mereka belum dan harus mulai dari awal untuk cari lahan kerja mereka,1
tantang nya yaitu apabila mereka pidah ke tempat yang baru maka mereka akan tidak biasa dengan daerah yang mereka tempat,1
yang pertama pasti cuaca yang perlu adaptasi dengan lingkung,1
mereka mungkin kurang dapat kerja dan tempat tinggal yang layak bagi mereka,1
tidak bisa sesuai diri dengan tempat baru,1
ajar,0
kenal orang oramg baru asing yag akan adaptasi dari awal,1
karena travina adalah orang orang yang paksa tinggal komunitas atau negara karena bencana lingkung dan dia senang dapet tempat tinggal baru,0
mereka akan hilang film dokumenter populer,0
tidak biasa dengan itu,0
tantang yang akan hadap adalah ada rasa tidak nyaman yang mereka rasa karena faktor lingkung yang beda dari ada yang pernah mereka rasa belum,1
