RESPONSE,LABEL
Karena orang berpikir bahwa jika disumbangkan akan membuat produksi pakaian menjadi lebih beretika,1
"Pakaian awet adalah alternatif terhadap Fast Fashion. Pakaian awet lebih mahal biaya produksi dan harga belinya, tetapi karena pakaian itu dibuat untuk bertahan lebih lama, maka yang dibuat pun menjadi lebih sedikit. Kita sebagai konsumen harus menolak tren Fast Fashion dan membeli pakaian yang lebih awet dan dibuat sesuai etika.",0
karna orang lebih suka menyumbang,1
karana harga nya terjangkau dan pas.,0
kerena harganya mahal .,0
agar orang yg memerlukan juga bisa mempunyai baju seperti kita,0
Karena melihat kondisi para pegawai,0
karena dia kasihan,1
karena memiliki pakaian yang melebihi atau sudah tidak layak dipakai pribadi,0
"karna mereka prihatin dengan para pekerja yang bekerja di sebuah pabrik pakaian ,karna pabrik pakaian tersebut sudah ingin bangkrut",1
KARENA MENYUMBANG ITU HARUS DI LAKUKAN KARENA WAJIB DAN AKAN MENDAPATKAN YANG LEBIH UNTUK ORANG YANG MENYUMBANG,1
mereka memilih untuk menyumbang karena mereka ingin memakai pakaian yang ber etika,1
"? karena kegiatan menyumbang lebih utama dan termasuk hal yang diwajibkan untuk orang ada,sedangkan membeli pakaian tidak terlalu perlu asal kita sudah mempunyai pakaian yang cukup",1
karena orang orang masih peduli terhadap sesama,1
karena kondisi di sebuah pabrik pakaian yang sangat mengejutkan,1
karena dari pada dibuang lebih baik disumbangkan ke masyarakat yang tidak mampu [miskin],1
karena mungkin mereka sadar bahwa banyak orang yang penghasilan nya sedikit dan kerja banting tulang hanya untuk makan sehari-hari.,1
karena menyumbang itu lebih bermanfaat dari pada di buang,0
karena dari pada pakaian di buang lebih baik di sumbangkan,1
karena menyumbang itu sama denga sodaqoh juga itu bagi yg mampu dan hatinya ikhlas,0
"karna kondisi pekerja sangat memungkinkan,",1
karna sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika,0
karna menyumbang suatu hal yang sangat bagus dan membarikan amal,1
karena lebih banyak konsumen yang menyumbang akan menjadi hemat dengan masalah keuangan dan akan membuat produksi pakaian menjadi lebih beretika.,1
karena mengetahui kondisi kerja di sebuah pabrik pakaian,1
karena pakaian yang tidak dipakai lagi lebih baik disumbangkan dari pada dibuang di tempat sampah.,0
karena dia tidak mau bererja,0
karena jika banyak yang tidak terpakai akan mubasir,0
karena t sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika.,1
karena yang tak terpakai lebih beretika,0
Karena lebih yakin dalam menyumbangkan uangnya setelah melihat gambar yang ditampilkan perusahaan tersebut,1
karena kalo sumumbangkan lebih berguna ketika dibuang begtu saja maka dari itu orang memilih lebh banyak disumbangkan,0
